,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.044444444444444446,0.04678362573099415,0.0456140350877193,0.7999999999999999,0.2764246234664688,0.9543859649122807,0.74396074,0.211498,1.346973,0.07815756,0.06592332879356239,0.02098585582778322
wavlm-base-sv,wavlm-base-sv,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.7614035087719297,0.9164850101158306,0.9333333333333333,0.22932829,0.16326593,0.84309727,0.26505256,2.3845467918239818,0.6814509779133198
wavlm-base-plus-sv,wavlm-base-plus-sv,0.05964912280701754,0.05964912280701754,0.05964912280701754,0.815204678362573,0.9139681638062777,0.9403508771929825,0.23677875,0.16983548,0.85209566,0.23581783,2.8161494635842255,0.365939907317837
titanet,titanet,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.7321637426900585,0.31354443715499325,0.9578947368421052,0.57264006,0.22141185,1.3556235,0.09204521,0.7997740272701819,0.11501341646599306
ecapa,ecapa,0.04912280701754386,0.04912280701754386,0.04912280701754386,0.7555555555555555,0.28301348464863674,0.9508771929824561,0.62814933,0.23292173,1.3613572,0.08399838,2.458874148806417,0.09970846975835644
